adm2,order
032001,639
020403,640
032002,641
020404,642
032003,643
020405,644
032004,645
020406,646
032005,647
020407,648
020408,649
019043,650
019044,651
019045,652
019046,653
020440,654
019047,655
020441,656
019048,657
020442,658
019049,659
020443,660
020444,661
019040,662
019041,663
019042,664
020434,665
020435,666
020436,667
020437,668
020438,669
020439,670
020430,671
020431,672
020432,673
020433,674
027015,675
032020,676
027016,677
032021,678
020423,679
027017,680
032022,681
020424,682
032023,683
020425,684
032024,685
020426,686
032025,687
020427,688
032026,689
020428,690
032027,691
020429,692
027010,693
020460,694
020461,695
027011,696
020462,697
027012,698
020463,699
027013,700
020464,701
027014,702
020465,703
020466,704
032018,705
032019,706
027004,707
027005,708
032010,709
020456,710
027006,711
032011,712
020457,713
027007,714
032012,715
020458,716
027008,717
032013,718
020459,719
027009,720
014002,721
032014,722
014003,723
032015,724
014004,725
032016,726
014005,727
014006,728
014007,729
020450,730
014009,731
020451,732
027001,733
020452,734
027002,735
020453,736
027003,737
020454,738
020455,739
014001,740
032006,741
032007,742
032008,743
032009,744
032042,745
032043,746
020445,747
032044,748
020446,749
032045,750
020447,751
032046,752
020001,753
020448,754
020002,755
020449,756
032048,757
020003,758
032049,759
020004,760
009011,761
020481,762
009012,763
020482,764
009013,765
020483,766
009014,767
020484,768
009015,769
020485,770
032040,771
009016,772
020486,773
032041,774
009017,775
020487,776
020488,777
032039,778
009010,779
020480,780
032031,781
032032,782
009008,783
020478,784
032033,785
009009,786
020479,787
032034,788
032035,789
014024,790
032036,791
014025,792
032037,793
014026,794
032038,795
014027,796
014028,797
014029,798
020470,799
020471,800
009002,801
020472,802
009003,803
020473,804
009004,805
020474,806
009005,807
020475,808
032030,809
009006,810
020476,811
009007,812
020477,813
014020,814
014021,815
014022,816
014023,817
032028,818
032029,819
020467,820
020020,821
020021,822
020468,823
020022,824
020469,825
020023,826
014013,827
020024,828
014014,829
020025,830
014015,831
020026,832
014016,833
014017,834
014018,835
014019,836
014010,837
014011,838
014012,839
020016,840
020017,841
020018,842
020019,843
032053,844
032054,845
032055,846
020010,847
032056,848
020011,849
020012,850
014046,851
020013,852
014047,853
020014,854
014048,855
020015,856
014049,857
020492,858
020493,859
020494,860
020495,861
032050,862
020496,863
032051,864
020497,865
014040,866
032052,867
020498,868
014041,869
020499,870
014042,871
014043,872
014044,873
014045,874
020490,875
020005,876
020491,877
020006,878
020007,879
020008,880
020009,881
020041,882
020489,883
020042,884
020043,885
020044,886
020045,887
014035,888
020046,889
014036,890
