Age,2000 U.S. Standard Population (Census P25-1130),,2011 Canadian Standard Population Std Million,,2021 Canadian Standard Population Std Million,,World (WHO 2000-2025) Std Million1,
,Single Ages to 89,Single Ages to 84,Single Ages to 89,Single Ages to 84,Single Ages to 99,Single Ages to 84,Single Ages to 99,Single Ages to 84
72 years,"1,802,080","1,802,080","230,156","230,156","365,780","365,780","4,412","4,412"
73 years,"1,674,285","1,674,285","218,638","218,638","359,901","359,901","4,125","4,125"
74 years,"1,621,378","1,621,378","206,400","206,400","351,695","351,695","3,844","3,844"
75 years,"1,610,943","1,610,943","200,626","200,626","295,570","295,570","3,569","3,569"
76 years,"1,530,137","1,530,137","190,737","190,737","269,219","269,219","3,300","3,300"
77 years,"1,450,062","1,450,062","180,672","180,672","254,985","254,985","3,035","3,035"
78 years,"1,456,186","1,456,186","176,879","176,879","238,051","238,051","2,773","2,773"
79 years,"1,367,231","1,367,231","170,424","170,424","214,514","214,514","2,518","2,518"
80 years,"1,172,978","1,172,978","163,436","163,436","200,578","200,578","2,271","2,271"
81 years,"1,065,672","1,065,672","152,274","152,274","182,002","182,002","2,033","2,033"
82 years,"963,587","963,587","138,753","138,753","167,384","167,384","1,807","1,807"
83 years,"890,893","890,893","129,386","129,386","153,327","153,327","1,594","1,594"
84 years,"807,104","807,104","117,291","117,291","138,142","138,142","1,392","1,392"
85/85+ years,"693,158","4,259,173","107,226","643,070","128,062","859,947","1,203","6,348"
86 years,"607,940",,"96,193",,"114,602",,"1,025",
87 years,"536,762",,"85,051",,"102,175",,863,
88 years,"452,814",,"73,870",,"93,309",,718,
89 years,"387,893",,"64,399",,"83,248",,589,
90+ years,"1,580,606",,"216,331",,"338,551",,1950,
Total,"274,633,642","274,633,642","34,342,780","34,342,780","38,239,864","38,239,864","1,000,000","1,000,000"
,,,,,,,,
,,,,,,,,
,,,,,,,,
